"Tidsstempel","Participant ID","Jeg følte at jeg kunne kontrollere hvornår katten hoppede. / I felt that I could control when the cat jumped.","Hvor frustreret følte du dig denne omgang af spillet? / How frustrated did this version of the game make you?"
"2021/11/30 11:31:59 AM CET","1","5","2"
"2021/11/30 12:02:27 PM CET","2","6","2"
"2021/11/30 1:51:35 PM CET","3","5","3"
"2021/11/30 2:07:35 PM CET","4","6","1"
"2021/11/30 2:28:07 PM CET","5","5","3"
"2021/12/01 10:34:39 AM CET","6","2","1"
"2021/12/01 10:57:27 AM CET","7","4","3"
"2021/12/01 11:15:27 AM CET","8","6","1"
"2021/12/01 11:39:47 AM CET","9","6","1"
"2021/12/01 11:57:09 AM CET","10","6","3"
"2021/12/01 12:41:12 PM CET","11","6","2"
"2021/12/01 1:05:11 PM CET","12","5","2"
"2021/12/01 1:32:02 PM CET","13","6","2"
"2021/12/01 1:58:50 PM CET","14","6","2"
"2021/12/01 2:18:50 PM CET","15","5","5"
"2021/12/01 2:59:08 PM CET","16","6","4"
"2021/12/02 9:47:44 AM CET","17","6","2"
"2021/12/02 10:10:27 AM CET","18","5","4"
"2021/12/02 10:33:50 AM CET","19","4","3"
"2021/12/02 11:07:52 AM CET","20","6","1"
"2021/12/02 11:49:12 AM CET","21","7","1"
"2021/12/02 12:56:16 PM CET","22","6","1"
"2021/12/02 1:11:19 PM CET","23","6","1"
"2021/12/02 1:34:35 PM CET","24","6","1"
"2021/12/02 2:04:06 PM CET","25","5","1"
"2021/12/03 9:48:19 AM CET","26","5","3"
"2021/12/03 10:03:05 AM CET","27","5","3"
"2021/12/03 10:43:16 AM CET","28","6","1"
"2021/12/03 11:39:51 AM CET","29","7","3"
"2021/12/03 11:54:42 AM CET","30","5","2"
