"Tidsstempel","Participant ID","Jeg følte at jeg kunne kontrollere hvornår katten hoppede. / I felt that I could control when the cat jumped.","Hvor frustreret følte du dig denne omgang af spillet? / How frustrated did this version of the game make you?"
"2021/11/30 11:36:20 AM CET","1","6","3"
"2021/11/30 11:57:58 AM CET","2","5","2"
"2021/11/30 1:49:41 PM CET","3","4","3"
"2021/11/30 2:11:46 PM CET","4","5","2"
"2021/11/30 2:26:06 PM CET","5","5","3"
"2021/12/01 10:31:11 AM CET","6","2","1"
"2021/12/01 11:01:19 AM CET","7","5","2"
"2021/12/01 11:17:18 AM CET","8","6","1"
"2021/12/01 11:35:55 AM CET","9","6","3"
"2021/12/01 11:59:00 AM CET","10","6","6"
"2021/12/01 12:45:01 PM CET","11","5","2"
"2021/12/01 1:01:22 PM CET","12","5","2"
"2021/12/01 1:31:02 PM CET","13","4","3"
"2021/12/01 2:02:55 PM CET","14","6","1"
"2021/12/01 2:16:52 PM CET","15","4","3"
"2021/12/01 2:54:37 PM CET","16","4","5"
"2021/12/02 9:51:21 AM CET","17","5","3"
"2021/12/02 10:12:21 AM CET","18","6","5"
"2021/12/02 10:29:30 AM CET","19","7","3"
"2021/12/02 11:09:44 AM CET","20","5","2"
"2021/12/02 11:47:10 AM CET","21","7","2"
"2021/12/02 12:48:09 PM CET","22","6","2"
"2021/12/02 1:15:08 PM CET","23","7","1"
"2021/12/02 1:38:26 PM CET","24","5","2"
"2021/12/02 2:02:05 PM CET","25","6","1"
"2021/12/03 9:44:22 AM CET","26","6","2"
"2021/12/03 10:07:13 AM CET","27","5","3"
"2021/12/03 10:45:12 AM CET","28","6","2"
"2021/12/03 11:36:17 AM CET","29","6","2"
"2021/12/03 11:56:35 AM CET","30","5","1"
